City,Temperature (°C),Humidity (%),Wind Speed (m/s),Timestamp
Delhi,25.05,44,2.57,2025-03-10 10:03:48.343851
Mumbai,33.99,22,2.06,2025-03-10 10:03:48.836888
Bangalore,22.71,65,4.63,2025-03-10 10:03:49.336087
Hyderabad,25.23,65,4.63,2025-03-10 10:03:49.805407
Chennai,30.09,62,4.63,2025-03-10 10:03:50.274474
Kolkata,27.97,65,1.54,2025-03-10 10:03:50.765732
Pune,29.9,17,3.03,2025-03-10 10:03:51.298984
Jaipur,25.62,34,3.6,2025-03-10 10:03:51.821355
Ahmedabad,30.02,28,1.54,2025-03-10 10:03:52.333283
Lucknow,23.99,50,2.57,2025-03-10 10:03:52.835396
Chandigarh,24.28,26,3.19,2025-03-10 10:03:53.304436
Bhopal,28.7,14,4.12,2025-03-10 10:03:53.784042
Indore,30.1,23,4.12,2025-03-10 10:03:54.280027
Patna,24.96,57,2.57,2025-03-10 10:03:54.776018
Surat,32.99,25,3.09,2025-03-10 10:03:55.266820
Nagpur,28.01,34,2.06,2025-03-10 10:03:55.768053
Kochi,26.62,65,2.24,2025-03-10 10:03:56.239711
Bhubaneswar,27.12,69,1.03,2025-03-10 10:03:56.722597
Guwahati,24.95,57,2.57,2025-03-10 10:03:57.240421
Dehradun,18.19,21,1.87,2025-03-10 10:03:57.731043
